,0,1,2
0,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
1,rnbqkbnr/pp1ppppp/2p5/8/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,[],-1
2,rnbqkbnr/pp1ppppp/2p5/8/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq - 0 2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
3,rnbqkbnr/pp1ppp1p/2p3p1/8/3P4/5P2/PPP1P1PP/RNBQKBNR w KQkq - 0 3,[],-1
4,rnbqkbnr/pp1ppp1p/2p3p1/8/3P4/P4P2/1PP1P1PP/RNBQKBNR b KQkq - 0 3,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
5,rnbqkbnr/pp1pp2p/2p2pp1/8/3P4/P4P2/1PP1P1PP/RNBQKBNR w KQkq - 0 4,[],-1
6,rnbqkbnr/pp1pp2p/2p2pp1/8/3P4/P3PP2/1PP3PP/RNBQKBNR b KQkq - 0 4,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
7,rnbqkbnr/pp2p2p/2pp1pp1/8/3P4/P3PP2/1PP3PP/RNBQKBNR w KQkq - 0 5,[],-1
8,rnbqkbnr/pp2p2p/B1pp1pp1/8/3P4/P3PP2/1PP3PP/RNBQK1NR b KQkq - 1 5,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
9,rnbqkbnr/p3p2p/p1pp1pp1/8/3P4/P3PP2/1PP3PP/RNBQK1NR w KQkq - 0 6,[],-1
10,rnbqkbnr/p3p2p/p1pp1pp1/8/P2P4/4PP2/1PP3PP/RNBQK1NR b KQkq - 0 6,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
11,rnbqkbnr/p3p2p/2pp1pp1/p7/P2P4/4PP2/1PP3PP/RNBQK1NR w KQkq - 0 7,[],-1
